iter	Passed	Remaining
428	1743	2321
429	1747	2317
430	1751	2312
431	1755	2308
432	1759	2303
433	1762	2299
434	1766	2294
435	1770	2290
436	1774	2286
437	1778	2281
438	1782	2277
439	1785	2273
440	1789	2268
441	1793	2264
442	1797	2260
443	1801	2255
444	1805	2251
445	1809	2247
446	1813	2243
447	1816	2238
448	1820	2234
449	1824	2229
450	1828	2225
451	1834	2223
452	1837	2219
453	1841	2215
454	1845	2210
455	1849	2206
456	1853	2201
457	1856	2196
458	1860	2192
459	1864	2188
460	1867	2183
461	1871	2179
462	1876	2176
463	1880	2172
464	1884	2168
465	1888	2163
466	1891	2159
467	1894	2153
468	1898	2149
469	1901	2144
470	1905	2140
471	1909	2135
472	1913	2131
473	1917	2127
474	1920	2123
475	1924	2118
476	1928	2114
477	1932	2109
478	1935	2105
479	1939	2100
480	1942	2096
481	1946	2091
482	1950	2087
483	1953	2082
484	1957	2078
485	1961	2074
486	1965	2070
487	1969	2066
488	1973	2062
489	1977	2057
490	1980	2053
491	1984	2049
492	1988	2044
493	1992	2040
494	1995	2036
495	1999	2031
496	2003	2027
497	2007	2023
498	2011	2019
499	2015	2015
500	2019	2011
501	2023	2007
502	2027	2003
503	2032	2000
504	2036	1995
505	2040	1992
506	2044	1987
507	2048	1983
508	2052	1979
509	2056	1975
510	2060	1971
511	2064	1967
512	2068	1963
513	2071	1959
514	2076	1955
515	2081	1952
516	2086	1949
517	2090	1944
518	2093	1940
519	2097	1936
520	2101	1931
521	2104	1927
522	2108	1923
523	2113	1919
524	2116	1915
525	2120	1910
526	2124	1906
527	2127	1902
528	2131	1897
529	2135	1893
530	2139	1889
531	2143	1885
532	2148	1882
533	2152	1878
534	2156	1874
535	2160	1869
536	2164	1865
537	2167	1861
538	2172	1857
539	2175	1853
540	2179	1849
541	2184	1845
542	2188	1841
543	2191	1837
544	2195	1832
545	2199	1828
546	2202	1824
547	2206	1820
548	2210	1815
549	2214	1811
550	2217	1807
551	2222	1803
552	2225	1799
553	2230	1796
554	2234	1792
555	2238	1787
556	2243	1784
557	2246	1779
558	2250	1775
559	2254	1771
560	2258	1767
561	2262	1763
562	2265	1758
563	2269	1754
564	2273	1750
565	2277	1746
566	2282	1742
567	2285	1738
568	2289	1734
569	2293	1729
570	2296	1725
571	2300	1721
572	2304	1716
573	2307	1712
574	2311	1708
575	2315	1704
576	2319	1700
577	2322	1696
578	2326	1691
579	2330	1687
580	2334	1683
581	2337	1678
582	2341	1674
583	2344	1670
584	2348	1666
585	2352	1661
586	2355	1657
587	2359	1653
588	2363	1649
589	2367	1645
590	2371	1641
591	2375	1637
592	2379	1633
593	2382	1628
594	2386	1624
595	2390	1620
596	2396	1617
597	2400	1613
598	2404	1609
599	2407	1605
600	2411	1601
601	2415	1597
602	2419	1592
603	2423	1588
604	2427	1584
605	2430	1580
606	2434	1576
607	2439	1572
608	2443	1568
609	2447	1564
610	2450	1560
611	2454	1556
612	2459	1552
613	2462	1548
614	2466	1544
615	2470	1539
616	2474	1535
617	2479	1532
618	2483	1528
619	2487	1524
620	2491	1520
621	2494	1516
622	2499	1512
623	2502	1507
624	2505	1503
625	2509	1499
626	2513	1495
627	2517	1491
628	2521	1487
629	2525	1483
630	2528	1478
631	2532	1474
632	2536	1470
633	2540	1466
634	2544	1462
635	2548	1458
636	2552	1454
637	2556	1450
638	2560	1446
639	2563	1442
640	2567	1437
641	2571	1433
642	2576	1430
643	2579	1426
644	2583	1421
645	2587	1417
646	2590	1413
647	2594	1409
648	2597	1405
649	2601	1400
650	2605	1396
651	2611	1393
652	2614	1389
653	2619	1385
654	2623	1381
655	2627	1377
656	2631	1373
657	2635	1369
658	2639	1365
659	2643	1361
660	2647	1357
661	2651	1353
662	2654	1349
663	2658	1345
664	2662	1341
665	2665	1336
666	2669	1332
667	2672	1328
668	2677	1324
669	2681	1320
670	2685	1316
671	2689	1312
672	2693	1308
673	2697	1304
674	2701	1300
675	2704	1296
676	2708	1292
677	2712	1288
678	2715	1283
679	2719	1279
680	2723	1275
681	2727	1271
682	2731	1267
683	2735	1263
684	2738	1259
685	2742	1255
686	2745	1251
687	2749	1247
688	2753	1242
689	2756	1238
690	2760	1234
691	2764	1230
692	2768	1226
693	2772	1222
694	2776	1218
695	2780	1214
696	2784	1210
697	2787	1206
698	2791	1202
699	2795	1198
700	2799	1194
701	2803	1190
702	2807	1185
703	2810	1181
704	2813	1177
705	2817	1173
706	2821	1169
707	2825	1165
708	2829	1161
709	2832	1156
710	2836	1152
711	2839	1148
712	2843	1144
713	2847	1140
714	2850	1136
715	2854	1132
716	2858	1128
717	2862	1124
718	2866	1120
719	2871	1116
720	2875	1112
721	2879	1108
722	2882	1104
723	2886	1100
724	2890	1096
725	2893	1092
726	2897	1087
727	2899	1083
728	2903	1079
729	2907	1075
730	2911	1071
731	2914	1067
732	2918	1063
733	2922	1059
734	2926	1054
735	2929	1050
736	2933	1046
737	2936	1042
738	2940	1038
739	2944	1034
740	2949	1030
741	2952	1026
742	2956	1022
743	2960	1018
744	2963	1014
745	2967	1010
746	2971	1006
747	2975	1002
748	2978	998
749	2982	994
750	2986	990
751	2989	986
752	2993	982
753	2998	978
754	3001	974
755	3005	969
756	3009	965
757	3012	961
758	3018	958
759	3020	953
760	3025	950
761	3028	946
762	3032	942
763	3036	938
764	3040	934
765	3044	930
766	3048	926
767	3051	921
768	3055	917
769	3059	913
770	3063	909
771	3068	906
772	3072	902
773	3076	898
774	3079	894
775	3083	890
776	3087	886
777	3091	882
778	3095	878
779	3099	874
780	3103	870
781	3105	865
782	3108	861
783	3112	857
784	3116	853
785	3119	849
786	3123	845
787	3127	841
788	3130	837
789	3134	833
790	3138	829
791	3142	825
792	3146	821
793	3150	817
794	3154	813
795	3158	809
796	3162	805
797	3165	801
798	3169	797
799	3173	793
800	3176	789
801	3180	785
802	3183	781
803	3187	777
804	3191	773
805	3194	769
806	3198	765
807	3202	761
808	3206	757
809	3210	753
810	3214	749
811	3218	745
812	3222	741
813	3226	737
814	3230	733
815	3234	729
816	3238	725
817	3242	721
818	3246	717
819	3250	713
820	3254	709
821	3258	705
822	3262	701
823	3266	697
824	3270	693
825	3275	689
826	3278	685
827	3282	681
828	3286	677
829	3290	673
830	3294	669
831	3298	665
832	3302	662
833	3305	658
834	3309	653
835	3313	649
836	3316	645
837	3320	641
838	3324	637
839	3328	633
840	3331	629
841	3335	625
842	3339	621
843	3346	618
844	3350	614
845	3355	610
846	3358	606
847	3362	602
848	3366	598
849	3370	594
850	3374	590
851	3378	586
852	3382	582
853	3386	578
854	3390	575
855	3395	571
856	3399	567
857	3403	563
858	3406	559
859	3410	555
860	3414	551
861	3420	547
862	3423	543
863	3427	539
864	3432	535
865	3436	531
866	3440	527
867	3444	523
868	3448	519
869	3452	515
870	3456	511
871	3460	507
872	3464	503
873	3469	500
874	3473	496
875	3477	492
876	3481	488
877	3485	484
878	3489	480
879	3492	476
880	3496	472
881	3501	468
882	3505	464
883	3509	460
884	3512	456
885	3517	452
886	3521	448
887	3525	444
888	3529	440
889	3533	436
890	3536	432
891	3540	428
892	3544	424
893	3548	420
894	3552	416
895	3556	412
896	3560	408
897	3564	404
898	3568	400
899	3571	396
900	3575	392
901	3579	388
902	3582	384
903	3586	380
904	3591	376
905	3594	372
906	3598	369
907	3602	365
908	3606	361
909	3610	357
910	3614	353
911	3619	349
912	3623	345
913	3627	341
914	3631	337
915	3635	333
916	3639	329
917	3643	325
918	3647	321
919	3651	317
920	3655	313
921	3659	309
922	3663	305
923	3667	301
924	3672	297
925	3676	293
926	3680	289
927	3684	285
928	3687	281
929	3691	277
930	3695	273
931	3699	269
932	3704	266
933	3708	262
934	3711	258
935	3715	254
936	3718	250
937	3722	246
938	3726	242
939	3730	238
940	3734	234
941	3738	230
942	3741	226
943	3745	222
944	3749	218
945	3753	214
946	3757	210
947	3761	206
948	3764	202
949	3768	198
950	3772	194
951	3776	190
952	3780	186
953	3784	182
954	3788	178
955	3792	174
956	3795	170
957	3800	166
958	3803	162
959	3807	158
960	3811	154
961	3814	150
962	3819	146
963	3823	142
964	3827	138
965	3831	134
966	3835	130
967	3839	126
968	3843	122
969	3846	118
970	3850	115
971	3854	111
972	3858	107
973	3862	103
974	3867	99
975	3871	95
976	3875	91
977	3879	87
978	3882	83
979	3886	79
980	3890	75
981	3893	71
982	3897	67
983	3901	63
984	3905	59
985	3909	55
986	3913	51
987	3916	47
988	3920	43
989	3924	39
990	3928	35
991	3932	31
992	3936	27
993	3940	23
994	3944	19
995	3947	15
996	3951	11
997	3955	7
998	3959	3
999	3962	0
